0.00.315.087 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.418.432 I srv    load_model: loading model 'unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q3_K_M'
0.01.054.559 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.25.015.794 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.25.030.345 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.25.030.372 I srv  llama_server: model loaded
0.25.030.376 I srv  llama_server: listening on http://127.0.0.1:8080
0.25.908.500 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.25.908.564 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.29.596.006 I slot print_timing: id  3 | task 0 | n_decoded =    174, tg =  57.75 t/s, tg_3s =  57.75 t/s
0.32.606.163 I slot print_timing: id  3 | task 0 | n_decoded =    345, tg =  57.28 t/s, tg_3s =  56.81 t/s
0.35.615.710 I slot print_timing: id  3 | task 0 | n_decoded =    518, tg =  57.35 t/s, tg_3s =  57.48 t/s
0.38.637.248 I slot print_timing: id  3 | task 0 | n_decoded =    679, tg =  56.33 t/s, tg_3s =  53.28 t/s
0.41.650.295 I slot print_timing: id  3 | task 0 | n_decoded =    816, tg =  54.16 t/s, tg_3s =  45.47 t/s
0.44.652.103 I slot print_timing: id  3 | task 0 | n_decoded =    988, tg =  54.68 t/s, tg_3s =  57.30 t/s
0.47.657.826 I slot print_timing: id  3 | task 0 | n_decoded =   1161, tg =  55.09 t/s, tg_3s =  57.56 t/s
0.50.672.579 I slot print_timing: id  3 | task 0 | n_decoded =   1332, tg =  55.29 t/s, tg_3s =  56.72 t/s
0.53.687.771 I slot print_timing: id  3 | task 0 | n_decoded =   1505, tg =  55.53 t/s, tg_3s =  57.38 t/s
0.56.689.188 I slot print_timing: id  3 | task 0 | n_decoded =   1677, tg =  55.70 t/s, tg_3s =  57.31 t/s
0.59.703.654 I slot print_timing: id  3 | task 0 | n_decoded =   1850, tg =  55.86 t/s, tg_3s =  57.39 t/s
1.02.706.590 I slot print_timing: id  3 | task 0 | n_decoded =   2020, tg =  55.92 t/s, tg_3s =  56.61 t/s
