0.02.020.220 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.223.164 I srv    load_model: loading model 'HauhauCS/Qwen3.6-27B-Uncensored-HauhauCS-Balanced:Q3_K_P'
0.02.527.454 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.24.406.381 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.24.421.001 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.24.421.024 I srv  llama_server: model loaded
0.24.421.028 I srv  llama_server: listening on http://127.0.0.1:8080
0.26.265.570 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.26.265.622 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.29.487.786 I slot print_timing: id  3 | task 0 | n_decoded =    107, tg =  35.52 t/s, tg_3s =  35.52 t/s
0.32.498.344 I slot print_timing: id  3 | task 0 | n_decoded =    213, tg =  35.36 t/s, tg_3s =  35.21 t/s
0.35.510.855 I slot print_timing: id  3 | task 0 | n_decoded =    317, tg =  35.08 t/s, tg_3s =  34.52 t/s
0.38.527.171 I slot print_timing: id  3 | task 0 | n_decoded =    423, tg =  35.10 t/s, tg_3s =  35.14 t/s
0.41.552.123 I slot print_timing: id  3 | task 0 | n_decoded =    529, tg =  35.09 t/s, tg_3s =  35.04 t/s
0.44.574.827 I slot print_timing: id  3 | task 0 | n_decoded =    635, tg =  35.08 t/s, tg_3s =  35.07 t/s
0.47.603.173 I slot print_timing: id  3 | task 0 | n_decoded =    741, tg =  35.07 t/s, tg_3s =  35.00 t/s
0.50.628.951 I slot print_timing: id  3 | task 0 | n_decoded =    847, tg =  35.07 t/s, tg_3s =  35.03 t/s
0.53.655.650 I slot print_timing: id  3 | task 0 | n_decoded =    953, tg =  35.06 t/s, tg_3s =  35.02 t/s
0.56.659.035 I slot print_timing: id  3 | task 0 | n_decoded =   1058, tg =  35.05 t/s, tg_3s =  34.96 t/s
0.59.687.594 I slot print_timing: id  3 | task 0 | n_decoded =   1164, tg =  35.05 t/s, tg_3s =  35.00 t/s
1.02.694.719 I slot print_timing: id  3 | task 0 | n_decoded =   1269, tg =  35.04 t/s, tg_3s =  34.92 t/s
1.05.704.178 I slot print_timing: id  3 | task 0 | n_decoded =   1374, tg =  35.03 t/s, tg_3s =  34.89 t/s
1.08.716.024 I slot print_timing: id  3 | task 0 | n_decoded =   1479, tg =  35.01 t/s, tg_3s =  34.86 t/s
1.11.733.075 I slot print_timing: id  3 | task 0 | n_decoded =   1584, tg =  35.00 t/s, tg_3s =  34.80 t/s
1.14.746.049 I slot print_timing: id  3 | task 0 | n_decoded =   1689, tg =  34.99 t/s, tg_3s =  34.85 t/s
1.17.767.130 I slot print_timing: id  3 | task 0 | n_decoded =   1794, tg =  34.98 t/s, tg_3s =  34.76 t/s
1.20.787.104 I slot print_timing: id  3 | task 0 | n_decoded =   1899, tg =  34.96 t/s, tg_3s =  34.77 t/s
1.23.807.624 I slot print_timing: id  3 | task 0 | n_decoded =   2004, tg =  34.95 t/s, tg_3s =  34.76 t/s
1.25.999.638 I slot print_timing: id  3 | task 0 | prompt eval time =     209.58 ms /    34 tokens (    6.16 ms per token,   162.23 tokens per second)
1.25.999.641 I slot print_timing: id  3 | task 0 |        eval time =   59524.40 ms /  2080 tokens (   28.62 ms per token,    34.94 tokens per second)
1.25.999.642 I slot print_timing: id  3 | task 0 |       total time =   59733.98 ms /  2114 tokens
1.25.999.645 I slot print_timing: id  3 | task 0 |    graphs reused =       2071
1.25.999.669 I slot      release: id  3 | task 0 | stop processing: n_tokens = 2113, truncated = 0
1.26.024.976 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
1.26.025.020 I slot launch_slot_: id  2 | task 2082 | processing task, is_child = 0
1.29.438.703 I slot print_timing: id  2 | task 2082 | n_decoded =    106, tg =  35.22 t/s, tg_3s =  35.22 t/s
1.32.466.758 I slot print_timing: id  2 | task 2082 | n_decoded =    212, tg =  35.11 t/s, tg_3s =  35.01 t/s
1.35.473.774 I slot print_timing: id  2 | task 2082 | n_decoded =    317, tg =  35.05 t/s, tg_3s =  34.92 t/s
1.38.478.208 I slot print_timing: id  2 | task 2082 | n_decoded =    422, tg =  35.02 t/s, tg_3s =  34.95 t/s
1.41.487.388 I slot print_timing: id  2 | task 2082 | n_decoded =    527, tg =  35.00 t/s, tg_3s =  34.89 t/s
1.44.492.966 I slot print_timing: id  2 | task 2082 | n_decoded =    632, tg =  34.99 t/s, tg_3s =  34.94 t/s
1.47.497.791 I slot print_timing: id  2 | task 2082 | n_decoded =    737, tg =  34.98 t/s, tg_3s =  34.94 t/s
1.50.508.333 I slot print_timing: id  2 | task 2082 | n_decoded =    842, tg =  34.97 t/s, tg_3s =  34.88 t/s
