0.02.027.178 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.123.153 I srv    load_model: loading model 'DavidAU/Qwen3.6-27B-NEO-CODE-Di-IMatrix-MAX-GGUF:IQ3_M'
0.21.961.536 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.21.975.570 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.21.975.593 I srv  llama_server: model loaded
0.21.975.597 I srv  llama_server: listening on http://127.0.0.1:8080
0.22.028.616 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.22.028.658 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.25.253.221 I slot print_timing: id  3 | task 0 | n_decoded =    123, tg =  40.91 t/s, tg_3s =  40.91 t/s
0.28.262.922 I slot print_timing: id  3 | task 0 | n_decoded =    245, tg =  40.72 t/s, tg_3s =  40.54 t/s
0.31.268.757 I slot print_timing: id  3 | task 0 | n_decoded =    367, tg =  40.68 t/s, tg_3s =  40.59 t/s
0.34.282.156 I slot print_timing: id  3 | task 0 | n_decoded =    489, tg =  40.63 t/s, tg_3s =  40.49 t/s
0.37.296.110 I slot print_timing: id  3 | task 0 | n_decoded =    611, tg =  40.60 t/s, tg_3s =  40.48 t/s
0.40.315.546 I slot print_timing: id  3 | task 0 | n_decoded =    733, tg =  40.57 t/s, tg_3s =  40.40 t/s
0.43.332.159 I slot print_timing: id  3 | task 0 | n_decoded =    855, tg =  40.55 t/s, tg_3s =  40.44 t/s
0.46.354.697 I slot print_timing: id  3 | task 0 | n_decoded =    977, tg =  40.53 t/s, tg_3s =  40.36 t/s
0.49.374.513 I slot print_timing: id  3 | task 0 | n_decoded =   1099, tg =  40.51 t/s, tg_3s =  40.40 t/s
0.52.394.946 I slot print_timing: id  3 | task 0 | n_decoded =   1221, tg =  40.50 t/s, tg_3s =  40.39 t/s
0.55.405.889 I slot print_timing: id  3 | task 0 | n_decoded =   1342, tg =  40.47 t/s, tg_3s =  40.19 t/s
0.58.412.994 I slot print_timing: id  3 | task 0 | n_decoded =   1463, tg =  40.45 t/s, tg_3s =  40.24 t/s
1.01.426.049 I slot print_timing: id  3 | task 0 | n_decoded =   1584, tg =  40.43 t/s, tg_3s =  40.16 t/s
1.04.434.845 I slot print_timing: id  3 | task 0 | n_decoded =   1705, tg =  40.41 t/s, tg_3s =  40.22 t/s
1.07.453.558 I slot print_timing: id  3 | task 0 | n_decoded =   1826, tg =  40.39 t/s, tg_3s =  40.08 t/s
1.10.469.791 I slot print_timing: id  3 | task 0 | n_decoded =   1947, tg =  40.37 t/s, tg_3s =  40.12 t/s
1.13.492.398 I slot print_timing: id  3 | task 0 | n_decoded =   2068, tg =  40.35 t/s, tg_3s =  40.03 t/s
1.16.511.734 I slot print_timing: id  3 | task 0 | n_decoded =   2189, tg =  40.34 t/s, tg_3s =  40.08 t/s
1.16.960.371 I slot print_timing: id  3 | task 0 | prompt eval time =     217.92 ms /    55 tokens (    3.96 ms per token,   252.39 tokens per second)
1.16.960.373 I slot print_timing: id  3 | task 0 |        eval time =   54713.76 ms /  2207 tokens (   24.79 ms per token,    40.34 tokens per second)
1.16.960.374 I slot print_timing: id  3 | task 0 |       total time =   54931.68 ms /  2262 tokens
1.16.960.378 I slot print_timing: id  3 | task 0 |    graphs reused =       2198
1.16.960.404 I slot      release: id  3 | task 0 | stop processing: n_tokens = 2261, truncated = 0
1.16.994.672 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
1.16.994.716 I slot launch_slot_: id  2 | task 2210 | processing task, is_child = 0
1.20.496.387 I slot print_timing: id  2 | task 2210 | n_decoded =    123, tg =  40.72 t/s, tg_3s =  40.72 t/s
1.23.515.961 I slot print_timing: id  2 | task 2210 | n_decoded =    245, tg =  40.56 t/s, tg_3s =  40.40 t/s
1.26.538.944 I slot print_timing: id  2 | task 2210 | n_decoded =    367, tg =  40.49 t/s, tg_3s =  40.36 t/s
1.29.559.225 I slot print_timing: id  2 | task 2210 | n_decoded =    489, tg =  40.47 t/s, tg_3s =  40.39 t/s
1.32.561.994 I slot print_timing: id  2 | task 2210 | n_decoded =    610, tg =  40.43 t/s, tg_3s =  40.30 t/s
1.35.585.242 I slot print_timing: id  2 | task 2210 | n_decoded =    732, tg =  40.42 t/s, tg_3s =  40.35 t/s
1.38.590.147 I slot print_timing: id  2 | task 2210 | n_decoded =    853, tg =  40.40 t/s, tg_3s =  40.27 t/s
1.41.590.206 I slot print_timing: id  2 | task 2210 | n_decoded =    974, tg =  40.39 t/s, tg_3s =  40.33 t/s
1.44.602.389 I slot print_timing: id  2 | task 2210 | n_decoded =   1095, tg =  40.37 t/s, tg_3s =  40.17 t/s
1.47.611.898 I slot print_timing: id  2 | task 2210 | n_decoded =   1216, tg =  40.35 t/s, tg_3s =  40.21 t/s
1.50.626.610 I slot print_timing: id  2 | task 2210 | n_decoded =   1337, tg =  40.33 t/s, tg_3s =  40.14 t/s
1.53.637.279 I slot print_timing: id  2 | task 2210 | n_decoded =   1458, tg =  40.32 t/s, tg_3s =  40.19 t/s
1.56.655.641 I slot print_timing: id  2 | task 2210 | n_decoded =   1579, tg =  40.30 t/s, tg_3s =  40.09 t/s
1.59.673.246 I slot print_timing: id  2 | task 2210 | n_decoded =   1700, tg =  40.29 t/s, tg_3s =  40.10 t/s
2.02.696.627 I slot print_timing: id  2 | task 2210 | n_decoded =   1821, tg =  40.27 t/s, tg_3s =  40.02 t/s
2.05.717.589 I slot print_timing: id  2 | task 2210 | n_decoded =   1942, tg =  40.26 t/s, tg_3s =  40.05 t/s
2.08.718.118 I slot print_timing: id  2 | task 2210 | n_decoded =   2062, tg =  40.24 t/s, tg_3s =  39.99 t/s
