0.00.277.248 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.405.152 I srv    load_model: loading model 'DavidAU/Qwen3.6-27B-NEO-CODE-Di-IMatrix-MAX-GGUF:IQ4_XS'
0.00.717.667 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.23.851.574 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.23.867.320 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.23.867.344 I srv  llama_server: model loaded
0.23.867.346 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.038.478 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.24.038.542 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.27.262.587 I slot print_timing: id  3 | task 0 | n_decoded =    110, tg =  36.54 t/s, tg_3s =  36.54 t/s
0.30.273.359 I slot print_timing: id  3 | task 0 | n_decoded =    219, tg =  36.37 t/s, tg_3s =  36.20 t/s
0.33.278.797 I slot print_timing: id  3 | task 0 | n_decoded =    328, tg =  36.34 t/s, tg_3s =  36.27 t/s
0.36.284.460 I slot print_timing: id  3 | task 0 | n_decoded =    437, tg =  36.32 t/s, tg_3s =  36.26 t/s
0.39.298.707 I slot print_timing: id  3 | task 0 | n_decoded =    546, tg =  36.29 t/s, tg_3s =  36.16 t/s
0.42.309.168 I slot print_timing: id  3 | task 0 | n_decoded =    655, tg =  36.27 t/s, tg_3s =  36.21 t/s
0.45.325.405 I slot print_timing: id  3 | task 0 | n_decoded =    764, tg =  36.25 t/s, tg_3s =  36.14 t/s
0.48.338.194 I slot print_timing: id  3 | task 0 | n_decoded =    873, tg =  36.24 t/s, tg_3s =  36.18 t/s
0.51.355.529 I slot print_timing: id  3 | task 0 | n_decoded =    982, tg =  36.23 t/s, tg_3s =  36.12 t/s
0.54.369.732 I slot print_timing: id  3 | task 0 | n_decoded =   1091, tg =  36.22 t/s, tg_3s =  36.16 t/s
