0.00.420.935 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.537.931 I srv    load_model: loading model 'Youssofal/Qwen3.6-27B-Abliterated-Heretic-Uncensored-GGUF:Q3_K_M'
0.28.080.434 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.28.100.415 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.28.100.519 I srv  llama_server: model loaded
0.28.100.522 I srv  llama_server: listening on http://127.0.0.1:8080
0.29.925.385 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.29.925.470 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.33.106.550 I slot print_timing: id  3 | task 0 | n_decoded =    104, tg =  34.60 t/s, tg_3s =  34.60 t/s
0.36.124.497 I slot print_timing: id  3 | task 0 | n_decoded =    209, tg =  34.70 t/s, tg_3s =  34.79 t/s
0.39.137.064 I slot print_timing: id  3 | task 0 | n_decoded =    313, tg =  34.64 t/s, tg_3s =  34.52 t/s
0.42.144.581 I slot print_timing: id  3 | task 0 | n_decoded =    419, tg =  34.79 t/s, tg_3s =  35.24 t/s
0.45.165.825 I slot print_timing: id  3 | task 0 | n_decoded =    525, tg =  34.85 t/s, tg_3s =  35.08 t/s
0.48.166.364 I slot print_timing: id  3 | task 0 | n_decoded =    630, tg =  34.87 t/s, tg_3s =  34.99 t/s
0.51.177.762 I slot print_timing: id  3 | task 0 | n_decoded =    735, tg =  34.87 t/s, tg_3s =  34.87 t/s
0.54.192.383 I slot print_timing: id  3 | task 0 | n_decoded =    840, tg =  34.87 t/s, tg_3s =  34.83 t/s
0.57.203.004 I slot print_timing: id  3 | task 0 | n_decoded =    946, tg =  34.90 t/s, tg_3s =  35.21 t/s
1.00.224.153 I slot print_timing: id  3 | task 0 | n_decoded =   1052, tg =  34.92 t/s, tg_3s =  35.09 t/s
1.03.227.382 I slot print_timing: id  3 | task 0 | n_decoded =   1157, tg =  34.93 t/s, tg_3s =  34.96 t/s
1.06.247.747 I slot print_timing: id  3 | task 0 | n_decoded =   1264, tg =  34.97 t/s, tg_3s =  35.43 t/s
