0.02.049.058 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.150.134 I srv    load_model: loading model 'unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_XL'
0.02.842.042 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.35.826.234 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.35.842.576 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.35.842.608 I srv  llama_server: model loaded
0.35.842.612 I srv  llama_server: listening on http://127.0.0.1:8080
0.36.098.390 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.36.098.550 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.39.612.530 I slot print_timing: id  3 | task 0 | n_decoded =    166, tg =  55.01 t/s, tg_3s =  55.01 t/s
0.42.615.634 I slot print_timing: id  3 | task 0 | n_decoded =    331, tg =  54.98 t/s, tg_3s =  54.94 t/s
0.45.617.592 I slot print_timing: id  3 | task 0 | n_decoded =    496, tg =  54.97 t/s, tg_3s =  54.96 t/s
0.48.623.976 I slot print_timing: id  3 | task 0 | n_decoded =    661, tg =  54.95 t/s, tg_3s =  54.88 t/s
0.51.641.358 I slot print_timing: id  3 | task 0 | n_decoded =    827, tg =  54.96 t/s, tg_3s =  55.01 t/s
0.54.642.293 I slot print_timing: id  3 | task 0 | n_decoded =    992, tg =  54.97 t/s, tg_3s =  54.98 t/s
0.57.642.467 I slot print_timing: id  3 | task 0 | n_decoded =   1157, tg =  54.97 t/s, tg_3s =  55.00 t/s
1.00.643.999 I slot print_timing: id  3 | task 0 | n_decoded =   1322, tg =  54.97 t/s, tg_3s =  54.97 t/s
1.03.653.524 I slot print_timing: id  3 | task 0 | n_decoded =   1488, tg =  54.99 t/s, tg_3s =  55.16 t/s
1.06.658.961 I slot print_timing: id  3 | task 0 | n_decoded =   1654, tg =  55.02 t/s, tg_3s =  55.23 t/s
1.09.672.625 I slot print_timing: id  3 | task 0 | n_decoded =   1819, tg =  54.99 t/s, tg_3s =  54.75 t/s
1.12.679.124 I slot print_timing: id  3 | task 0 | n_decoded =   1984, tg =  54.98 t/s, tg_3s =  54.88 t/s
1.15.690.516 I slot print_timing: id  3 | task 0 | n_decoded =   2150, tg =  54.99 t/s, tg_3s =  55.12 t/s
1.15.998.157 I slot print_timing: id  3 | task 0 | prompt eval time =     496.21 ms /    55 tokens (    9.02 ms per token,   110.84 tokens per second)
1.15.998.162 I slot print_timing: id  3 | task 0 |        eval time =   39403.34 ms /  2167 tokens (   18.18 ms per token,    55.00 tokens per second)
1.15.998.162 I slot print_timing: id  3 | task 0 |       total time =   39899.56 ms /  2222 tokens
1.15.998.166 I slot print_timing: id  3 | task 0 |    graphs reused =       2158
1.15.998.199 I slot      release: id  3 | task 0 | stop processing: n_tokens = 2221, truncated = 0
1.16.032.203 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
1.16.032.240 I slot launch_slot_: id  2 | task 2170 | processing task, is_child = 0
1.20.107.722 I slot print_timing: id  2 | task 2170 | n_decoded =    166, tg =  55.24 t/s, tg_3s =  55.24 t/s
1.23.122.952 I slot print_timing: id  2 | task 2170 | n_decoded =    332, tg =  55.15 t/s, tg_3s =  55.05 t/s
1.26.134.388 I slot print_timing: id  2 | task 2170 | n_decoded =    497, tg =  55.03 t/s, tg_3s =  54.79 t/s
1.29.140.869 I slot print_timing: id  2 | task 2170 | n_decoded =    662, tg =  54.99 t/s, tg_3s =  54.88 t/s
1.32.151.647 I slot print_timing: id  2 | task 2170 | n_decoded =    827, tg =  54.95 t/s, tg_3s =  54.80 t/s
1.35.164.210 I slot print_timing: id  2 | task 2170 | n_decoded =    991, tg =  54.87 t/s, tg_3s =  54.44 t/s
1.38.181.532 I slot print_timing: id  2 | task 2170 | n_decoded =   1156, tg =  54.84 t/s, tg_3s =  54.68 t/s
1.41.183.419 I slot print_timing: id  2 | task 2170 | n_decoded =   1320, tg =  54.82 t/s, tg_3s =  54.63 t/s
1.44.200.984 I slot print_timing: id  2 | task 2170 | n_decoded =   1485, tg =  54.80 t/s, tg_3s =  54.68 t/s
1.47.203.357 I slot print_timing: id  2 | task 2170 | n_decoded =   1649, tg =  54.78 t/s, tg_3s =  54.62 t/s
1.50.209.542 I slot print_timing: id  2 | task 2170 | n_decoded =   1813, tg =  54.76 t/s, tg_3s =  54.55 t/s
1.53.226.729 I slot print_timing: id  2 | task 2170 | n_decoded =   1979, tg =  54.78 t/s, tg_3s =  55.02 t/s
1.56.239.182 I slot print_timing: id  2 | task 2170 | n_decoded =   2143, tg =  54.76 t/s, tg_3s =  54.44 t/s
1.59.256.061 I slot print_timing: id  2 | task 2170 | n_decoded =   2307, tg =  54.73 t/s, tg_3s =  54.36 t/s
2.02.258.568 I slot print_timing: id  2 | task 2170 | n_decoded =   2472, tg =  54.74 t/s, tg_3s =  54.95 t/s
2.05.271.499 I slot print_timing: id  2 | task 2170 | n_decoded =   2636, tg =  54.72 t/s, tg_3s =  54.43 t/s
2.08.286.434 I slot print_timing: id  2 | task 2170 | n_decoded =   2801, tg =  54.72 t/s, tg_3s =  54.73 t/s
2.11.290.248 I slot print_timing: id  2 | task 2170 | n_decoded =   2965, tg =  54.72 t/s, tg_3s =  54.60 t/s
2.14.290.812 I slot print_timing: id  2 | task 2170 | n_decoded =   3129, tg =  54.71 t/s, tg_3s =  54.66 t/s
2.17.299.540 I slot print_timing: id  2 | task 2170 | n_decoded =   3293, tg =  54.70 t/s, tg_3s =  54.51 t/s
2.20.305.510 I slot print_timing: id  2 | task 2170 | n_decoded =   3456, tg =  54.68 t/s, tg_3s =  54.23 t/s
2.23.313.636 I slot print_timing: id  2 | task 2170 | n_decoded =   3620, tg =  54.67 t/s, tg_3s =  54.52 t/s
2.26.325.989 I slot print_timing: id  2 | task 2170 | n_decoded =   3784, tg =  54.66 t/s, tg_3s =  54.44 t/s
2.29.328.252 I slot print_timing: id  2 | task 2170 | n_decoded =   3948, tg =  54.66 t/s, tg_3s =  54.63 t/s
2.32.336.316 I slot print_timing: id  2 | task 2170 | n_decoded =   4112, tg =  54.66 t/s, tg_3s =  54.52 t/s
2.35.349.233 I slot print_timing: id  2 | task 2170 | n_decoded =   4276, tg =  54.65 t/s, tg_3s =  54.43 t/s
2.38.356.164 I slot print_timing: id  2 | task 2170 | n_decoded =   4439, tg =  54.63 t/s, tg_3s =  54.21 t/s
2.41.370.484 I slot print_timing: id  2 | task 2170 | n_decoded =   4602, tg =  54.61 t/s, tg_3s =  54.08 t/s
2.44.386.924 I slot print_timing: id  2 | task 2170 | n_decoded =   4766, tg =  54.60 t/s, tg_3s =  54.37 t/s
2.47.396.232 I slot print_timing: id  2 | task 2170 | n_decoded =   4929, tg =  54.59 t/s, tg_3s =  54.17 t/s
2.50.399.691 I slot print_timing: id  2 | task 2170 | n_decoded =   5092, tg =  54.58 t/s, tg_3s =  54.27 t/s
2.53.404.794 I slot print_timing: id  2 | task 2170 | n_decoded =   5255, tg =  54.57 t/s, tg_3s =  54.24 t/s
2.56.406.139 I slot print_timing: id  2 | task 2170 | n_decoded =   5418, tg =  54.56 t/s, tg_3s =  54.31 t/s
2.59.409.554 I slot print_timing: id  2 | task 2170 | n_decoded =   5580, tg =  54.54 t/s, tg_3s =  53.94 t/s
