0.00.247.183 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.349.307 I srv    load_model: loading model 'HauhauCS/Qwen3.6-27B-Uncensored-HauhauCS-Balanced:Q3_K_P'
0.00.679.001 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.22.883.397 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.22.897.629 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.22.897.653 I srv  llama_server: model loaded
0.22.897.656 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.045.066 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.24.045.369 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.26.332.379 I slot print_timing: id  3 | task 0 | prompt eval time =     579.88 ms /   639 tokens (    0.91 ms per token,  1101.95 tokens per second)
0.26.332.382 I slot print_timing: id  3 | task 0 |        eval time =    1707.09 ms /    61 tokens (   27.99 ms per token,    35.73 tokens per second)
0.26.332.383 I slot print_timing: id  3 | task 0 |       total time =    2286.98 ms /   700 tokens
0.26.332.386 I slot print_timing: id  3 | task 0 |    graphs reused =         60
0.26.332.432 I slot      release: id  3 | task 0 | stop processing: n_tokens = 699, truncated = 0
0.26.350.175 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.803 (> 0.100 thold), f_keep = 0.911
0.26.350.280 I slot launch_slot_: id  3 | task 65 | processing task, is_child = 0
0.28.900.980 I slot print_timing: id  3 | task 65 | prompt eval time =     275.22 ms /   242 tokens (    1.14 ms per token,   879.29 tokens per second)
0.28.900.983 I slot print_timing: id  3 | task 65 |        eval time =    2275.45 ms /    81 tokens (   28.09 ms per token,    35.60 tokens per second)
0.28.900.984 I slot print_timing: id  3 | task 65 |       total time =    2550.68 ms /   323 tokens
0.28.900.984 I slot print_timing: id  3 | task 65 |    graphs reused =        139
0.28.901.021 I slot      release: id  3 | task 65 | stop processing: n_tokens = 873, truncated = 0
0.28.920.445 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.658 (> 0.100 thold), f_keep = 0.906
0.28.920.587 I slot launch_slot_: id  3 | task 149 | processing task, is_child = 0
0.32.438.405 I slot print_timing: id  3 | task 149 | n_decoded =    107, tg =  35.39 t/s, tg_3s =  35.39 t/s
0.33.806.102 I slot print_timing: id  3 | task 149 | prompt eval time =     494.56 ms /   533 tokens (    0.93 ms per token,  1077.73 tokens per second)
0.33.806.105 I slot print_timing: id  3 | task 149 |        eval time =    4390.92 ms /   155 tokens (   28.33 ms per token,    35.30 tokens per second)
0.33.806.105 I slot print_timing: id  3 | task 149 |       total time =    4885.48 ms /   688 tokens
0.33.806.106 I slot print_timing: id  3 | task 149 |    graphs reused =        291
0.33.806.153 I slot      release: id  3 | task 149 | stop processing: n_tokens = 1356, truncated = 0
0.33.827.380 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.715 (> 0.100 thold), f_keep = 0.885
0.33.827.522 I slot launch_slot_: id  3 | task 308 | processing task, is_child = 0
0.37.513.109 I slot print_timing: id  3 | task 308 | n_decoded =    107, tg =  35.36 t/s, tg_3s =  35.36 t/s
0.40.259.592 I slot print_timing: id  3 | task 308 | prompt eval time =     659.25 ms /   826 tokens (    0.80 ms per token,  1252.95 tokens per second)
0.40.259.594 I slot print_timing: id  3 | task 308 |        eval time =    5772.79 ms /   203 tokens (   28.44 ms per token,    35.16 tokens per second)
0.40.259.595 I slot print_timing: id  3 | task 308 |       total time =    6432.03 ms /  1029 tokens
0.40.259.596 I slot print_timing: id  3 | task 308 |    graphs reused =        491
0.40.259.653 I slot      release: id  3 | task 308 | stop processing: n_tokens = 1880, truncated = 0
0.40.281.323 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.913 (> 0.100 thold), f_keep = 0.891
0.40.281.467 I slot launch_slot_: id  3 | task 515 | processing task, is_child = 0
0.42.067.381 I slot print_timing: id  3 | task 515 | prompt eval time =     435.60 ms /   494 tokens (    0.88 ms per token,  1134.06 tokens per second)
0.42.067.384 I slot print_timing: id  3 | task 515 |        eval time =    1350.27 ms /    48 tokens (   28.13 ms per token,    35.55 tokens per second)
0.42.067.384 I slot print_timing: id  3 | task 515 |       total time =    1785.88 ms /   542 tokens
0.42.067.385 I slot print_timing: id  3 | task 515 |    graphs reused =        537
0.42.067.444 I slot      release: id  3 | task 515 | stop processing: n_tokens = 1883, truncated = 0
0.42.120.400 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.962 (> 0.100 thold), f_keep = 0.974
0.42.120.506 I slot launch_slot_: id  3 | task 566 | processing task, is_child = 0
0.43.626.703 I slot print_timing: id  3 | task 566 | prompt eval time =     211.77 ms /    97 tokens (    2.18 ms per token,   458.05 tokens per second)
0.43.626.706 I slot print_timing: id  3 | task 566 |        eval time =    1294.40 ms /    46 tokens (   28.14 ms per token,    35.54 tokens per second)
0.43.626.706 I slot print_timing: id  3 | task 566 |       total time =    1506.17 ms /   143 tokens
0.43.626.706 I slot print_timing: id  3 | task 566 |    graphs reused =        581
0.43.626.773 I slot      release: id  3 | task 566 | stop processing: n_tokens = 1952, truncated = 0
0.43.724.825 I srv    operator(): operator(): cleaning up before exit...
