0.00.216.792 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.317.574 I srv    load_model: loading model 'HauhauCS/Qwen3.6-27B-Uncensored-HauhauCS-Balanced:Q3_K_P'
0.00.706.760 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.22.701.224 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.22.715.265 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.22.715.290 I srv  llama_server: model loaded
0.22.715.293 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.122.882 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.24.122.940 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.27.313.685 I slot print_timing: id  3 | task 0 | n_decoded =    107, tg =  35.53 t/s, tg_3s =  35.53 t/s
0.30.321.026 I slot print_timing: id  3 | task 0 | n_decoded =    213, tg =  35.39 t/s, tg_3s =  35.25 t/s
0.33.329.233 I slot print_timing: id  3 | task 0 | n_decoded =    317, tg =  35.12 t/s, tg_3s =  34.57 t/s
0.36.342.285 I slot print_timing: id  3 | task 0 | n_decoded =    423, tg =  35.13 t/s, tg_3s =  35.18 t/s
0.39.363.746 I slot print_timing: id  3 | task 0 | n_decoded =    529, tg =  35.12 t/s, tg_3s =  35.08 t/s
0.42.383.847 I slot print_timing: id  3 | task 0 | n_decoded =    635, tg =  35.12 t/s, tg_3s =  35.10 t/s
0.45.411.074 I slot print_timing: id  3 | task 0 | n_decoded =    741, tg =  35.10 t/s, tg_3s =  35.02 t/s
0.48.435.856 I slot print_timing: id  3 | task 0 | n_decoded =    847, tg =  35.10 t/s, tg_3s =  35.04 t/s
0.49.406.297 I slot print_timing: id  3 | task 0 | prompt eval time =     179.14 ms /    41 tokens (    4.37 ms per token,   228.87 tokens per second)
0.49.406.300 I slot print_timing: id  3 | task 0 |        eval time =   25104.18 ms /   881 tokens (   28.50 ms per token,    35.09 tokens per second)
0.49.406.300 I slot print_timing: id  3 | task 0 |       total time =   25283.33 ms /   922 tokens
0.49.406.303 I slot print_timing: id  3 | task 0 |    graphs reused =        877
0.49.406.329 I slot      release: id  3 | task 0 | stop processing: n_tokens = 921, truncated = 0
0.49.428.834 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.345 (> 0.100 thold), f_keep = 0.042
0.49.585.953 I slot launch_slot_: id  3 | task 883 | processing task, is_child = 0
0.52.812.398 I slot print_timing: id  3 | task 883 | n_decoded =    107, tg =  35.37 t/s, tg_3s =  35.37 t/s
0.55.839.572 I slot print_timing: id  3 | task 883 | n_decoded =    213, tg =  35.20 t/s, tg_3s =  35.02 t/s
0.58.862.398 I slot print_timing: id  3 | task 883 | n_decoded =    319, tg =  35.15 t/s, tg_3s =  35.07 t/s
1.01.862.424 I slot print_timing: id  3 | task 883 | n_decoded =    424, tg =  35.11 t/s, tg_3s =  35.00 t/s
1.04.889.845 I slot print_timing: id  3 | task 883 | n_decoded =    530, tg =  35.09 t/s, tg_3s =  35.01 t/s
1.07.432.995 I slot print_timing: id  3 | task 883 | prompt eval time =     201.63 ms /    76 tokens (    2.65 ms per token,   376.93 tokens per second)
1.07.432.998 I slot print_timing: id  3 | task 883 |        eval time =   17645.39 ms /   619 tokens (   28.51 ms per token,    35.08 tokens per second)
1.07.432.998 I slot print_timing: id  3 | task 883 |       total time =   17847.02 ms /   695 tokens
1.07.432.999 I slot print_timing: id  3 | task 883 |    graphs reused =       1492
