0.02.062.187 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.173.705 I srv    load_model: loading model 'DavidAU/Qwen3.6-27B-Heretic-Uncensored-FINETUNE-NEO-CODE-Di-IMatrix-MAX-GGUF:IQ4_XS'
0.02.491.356 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.26.341.042 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.26.355.160 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.26.355.184 I srv  llama_server: model loaded
0.26.355.187 I srv  llama_server: listening on http://127.0.0.1:8080
0.28.152.554 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.28.152.603 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.31.385.726 I slot print_timing: id  3 | task 0 | n_decoded =    110, tg =  36.44 t/s, tg_3s =  36.44 t/s
0.34.396.152 I slot print_timing: id  3 | task 0 | n_decoded =    217, tg =  35.99 t/s, tg_3s =  35.54 t/s
0.37.409.116 I slot print_timing: id  3 | task 0 | n_decoded =    326, tg =  36.05 t/s, tg_3s =  36.18 t/s
0.40.422.185 I slot print_timing: id  3 | task 0 | n_decoded =    435, tg =  36.08 t/s, tg_3s =  36.18 t/s
0.43.444.017 I slot print_timing: id  3 | task 0 | n_decoded =    544, tg =  36.08 t/s, tg_3s =  36.07 t/s
0.44.662.359 I slot print_timing: id  3 | task 0 | prompt eval time =     214.37 ms /    62 tokens (    3.46 ms per token,   289.22 tokens per second)
0.44.662.362 I slot print_timing: id  3 | task 0 |        eval time =   16295.36 ms /   588 tokens (   27.71 ms per token,    36.08 tokens per second)
0.44.662.363 I slot print_timing: id  3 | task 0 |       total time =   16509.73 ms /   650 tokens
0.44.662.366 I slot print_timing: id  3 | task 0 |    graphs reused =        585
0.44.662.393 I slot      release: id  3 | task 0 | stop processing: n_tokens = 649, truncated = 0
0.44.676.396 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.420 (> 0.100 thold), f_keep = 0.092
0.44.830.942 I slot launch_slot_: id  3 | task 591 | processing task, is_child = 0
0.48.049.185 I slot print_timing: id  3 | task 591 | n_decoded =    110, tg =  36.46 t/s, tg_3s =  36.46 t/s
0.51.069.538 I slot print_timing: id  3 | task 591 | n_decoded =    219, tg =  36.27 t/s, tg_3s =  36.09 t/s
0.54.083.348 I slot print_timing: id  3 | task 591 | n_decoded =    328, tg =  36.24 t/s, tg_3s =  36.17 t/s
0.57.105.222 I slot print_timing: id  3 | task 591 | n_decoded =    437, tg =  36.20 t/s, tg_3s =  36.07 t/s
0.57.991.328 I slot print_timing: id  3 | task 591 | prompt eval time =     200.85 ms /   122 tokens (    1.65 ms per token,   607.41 tokens per second)
0.57.991.331 I slot print_timing: id  3 | task 591 |        eval time =   12959.51 ms /   469 tokens (   27.63 ms per token,    36.19 tokens per second)
0.57.991.331 I slot print_timing: id  3 | task 591 |       total time =   13160.36 ms /   591 tokens
