0.00.232.147 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.341.149 I srv    load_model: loading model 'DavidAU/Qwen3.6-27B-NEO-CODE-Di-IMatrix-MAX-GGUF:IQ3_M'
0.20.750.960 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.20.764.877 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.20.764.900 I srv  llama_server: model loaded
0.20.764.903 I srv  llama_server: listening on http://127.0.0.1:8080
0.22.103.910 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.22.103.960 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.25.356.692 I slot print_timing: id  3 | task 0 | n_decoded =    123, tg =  40.91 t/s, tg_3s =  40.91 t/s
0.28.365.776 I slot print_timing: id  3 | task 0 | n_decoded =    243, tg =  40.39 t/s, tg_3s =  39.88 t/s
0.31.372.208 I slot print_timing: id  3 | task 0 | n_decoded =    365, tg =  40.46 t/s, tg_3s =  40.58 t/s
0.34.385.972 I slot print_timing: id  3 | task 0 | n_decoded =    487, tg =  40.46 t/s, tg_3s =  40.48 t/s
0.37.400.157 I slot print_timing: id  3 | task 0 | n_decoded =    609, tg =  40.47 t/s, tg_3s =  40.48 t/s
0.40.419.984 I slot print_timing: id  3 | task 0 | n_decoded =    731, tg =  40.45 t/s, tg_3s =  40.40 t/s
0.41.161.705 I slot print_timing: id  3 | task 0 | prompt eval time =     246.18 ms /    62 tokens (    3.97 ms per token,   251.85 tokens per second)
0.41.161.708 I slot print_timing: id  3 | task 0 |        eval time =   18811.53 ms /   761 tokens (   24.72 ms per token,    40.45 tokens per second)
0.41.161.709 I slot print_timing: id  3 | task 0 |       total time =   19057.72 ms /   823 tokens
0.41.161.712 I slot print_timing: id  3 | task 0 |    graphs reused =        757
0.41.161.737 I slot      release: id  3 | task 0 | stop processing: n_tokens = 822, truncated = 0
0.41.175.857 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.426 (> 0.100 thold), f_keep = 0.073
0.41.331.808 I slot launch_slot_: id  3 | task 764 | processing task, is_child = 0
0.44.565.715 I slot print_timing: id  3 | task 764 | n_decoded =    123, tg =  40.76 t/s, tg_3s =  40.76 t/s
0.47.577.639 I slot print_timing: id  3 | task 764 | n_decoded =    245, tg =  40.63 t/s, tg_3s =  40.51 t/s
0.50.590.875 I slot print_timing: id  3 | task 764 | n_decoded =    367, tg =  40.58 t/s, tg_3s =  40.49 t/s
0.53.614.218 I slot print_timing: id  3 | task 764 | n_decoded =    489, tg =  40.53 t/s, tg_3s =  40.35 t/s
0.56.633.586 I slot print_timing: id  3 | task 764 | n_decoded =    611, tg =  40.50 t/s, tg_3s =  40.41 t/s
0.59.634.372 I slot print_timing: id  3 | task 764 | n_decoded =    732, tg =  40.47 t/s, tg_3s =  40.32 t/s
1.00.377.576 I slot print_timing: id  3 | task 764 | prompt eval time =     216.04 ms /   120 tokens (    1.80 ms per token,   555.44 tokens per second)
1.00.377.580 I slot print_timing: id  3 | task 764 |        eval time =   18829.70 ms /   762 tokens (   24.71 ms per token,    40.47 tokens per second)
1.00.377.580 I slot print_timing: id  3 | task 764 |       total time =   19045.74 ms /   882 tokens
1.00.377.581 I slot print_timing: id  3 | task 764 |    graphs reused =       1514
1.00.377.596 I slot      release: id  3 | task 764 | stop processing: n_tokens = 902, truncated = 0
1.00.391.567 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.567 (> 0.100 thold), f_keep = 0.154
1.00.619.541 I slot launch_slot_: id  3 | task 1529 | processing task, is_child = 0
1.03.838.211 I slot print_timing: id  3 | task 1529 | n_decoded =    122, tg =  40.66 t/s, tg_3s =  40.66 t/s
1.06.852.386 I slot print_timing: id  3 | task 1529 | n_decoded =    244, tg =  40.57 t/s, tg_3s =  40.48 t/s
1.06.926.595 I slot print_timing: id  3 | task 1529 | prompt eval time =     218.35 ms /   127 tokens (    1.72 ms per token,   581.62 tokens per second)
1.06.926.597 I slot print_timing: id  3 | task 1529 |        eval time =    6088.68 ms /   247 tokens (   24.65 ms per token,    40.57 tokens per second)
1.06.926.598 I slot print_timing: id  3 | task 1529 |       total time =    6307.03 ms /   374 tokens
1.06.926.598 I slot print_timing: id  3 | task 1529 |    graphs reused =       1758
