0.02.071.257 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.176.429 I srv    load_model: loading model 'DavidAU/Qwen3.6-27B-NEO-CODE-Di-IMatrix-MAX-GGUF:IQ4_XS'
0.02.494.769 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.26.203.680 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.26.217.691 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.26.217.713 I srv  llama_server: model loaded
0.26.217.715 I srv  llama_server: listening on http://127.0.0.1:8080
0.28.148.053 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.28.148.097 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.31.362.495 I slot print_timing: id  3 | task 0 | n_decoded =    110, tg =  36.56 t/s, tg_3s =  36.56 t/s
0.34.372.878 I slot print_timing: id  3 | task 0 | n_decoded =    219, tg =  36.38 t/s, tg_3s =  36.21 t/s
0.37.377.736 I slot print_timing: id  3 | task 0 | n_decoded =    328, tg =  36.35 t/s, tg_3s =  36.27 t/s
0.40.382.974 I slot print_timing: id  3 | task 0 | n_decoded =    437, tg =  36.33 t/s, tg_3s =  36.27 t/s
0.43.397.417 I slot print_timing: id  3 | task 0 | n_decoded =    546, tg =  36.29 t/s, tg_3s =  36.16 t/s
0.46.407.499 I slot print_timing: id  3 | task 0 | n_decoded =    655, tg =  36.28 t/s, tg_3s =  36.21 t/s
0.49.423.089 I slot print_timing: id  3 | task 0 | n_decoded =    764, tg =  36.26 t/s, tg_3s =  36.15 t/s
0.52.434.754 I slot print_timing: id  3 | task 0 | n_decoded =    873, tg =  36.25 t/s, tg_3s =  36.19 t/s
0.55.452.285 I slot print_timing: id  3 | task 0 | n_decoded =    982, tg =  36.24 t/s, tg_3s =  36.12 t/s
0.56.613.803 I slot print_timing: id  3 | task 0 | prompt eval time =     205.30 ms /    62 tokens (    3.31 ms per token,   302.00 tokens per second)
0.56.613.805 I slot print_timing: id  3 | task 0 |        eval time =   28260.38 ms /  1024 tokens (   27.60 ms per token,    36.23 tokens per second)
0.56.613.805 I slot print_timing: id  3 | task 0 |       total time =   28465.68 ms /  1086 tokens
0.56.613.809 I slot print_timing: id  3 | task 0 |    graphs reused =       1019
0.56.613.834 I slot      release: id  3 | task 0 | stop processing: n_tokens = 1085, truncated = 0
0.56.627.476 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.706 (> 0.100 thold), f_keep = 0.055
0.56.785.965 I slot launch_slot_: id  3 | task 1027 | processing task, is_child = 0
0.59.977.372 I slot print_timing: id  3 | task 1027 | n_decoded =    110, tg =  36.54 t/s, tg_3s =  36.54 t/s
1.02.990.811 I slot print_timing: id  3 | task 1027 | n_decoded =    219, tg =  36.35 t/s, tg_3s =  36.17 t/s
1.05.997.806 I slot print_timing: id  3 | task 1027 | n_decoded =    328, tg =  36.32 t/s, tg_3s =  36.25 t/s
1.09.010.275 I slot print_timing: id  3 | task 1027 | n_decoded =    437, tg =  36.29 t/s, tg_3s =  36.18 t/s
1.12.022.088 I slot print_timing: id  3 | task 1027 | n_decoded =    546, tg =  36.27 t/s, tg_3s =  36.19 t/s
1.15.034.081 I slot print_timing: id  3 | task 1027 | n_decoded =    655, tg =  36.25 t/s, tg_3s =  36.19 t/s
1.18.051.884 I slot print_timing: id  3 | task 1027 | n_decoded =    764, tg =  36.23 t/s, tg_3s =  36.12 t/s
1.21.065.252 I slot print_timing: id  3 | task 1027 | n_decoded =    873, tg =  36.23 t/s, tg_3s =  36.17 t/s
1.24.084.055 I slot print_timing: id  3 | task 1027 | n_decoded =    982, tg =  36.21 t/s, tg_3s =  36.11 t/s
1.25.246.045 I slot print_timing: id  3 | task 1027 | prompt eval time =     180.88 ms /    64 tokens (    2.83 ms per token,   353.82 tokens per second)
1.25.246.048 I slot print_timing: id  3 | task 1027 |        eval time =   28279.17 ms /  1024 tokens (   27.62 ms per token,    36.21 tokens per second)
1.25.246.049 I slot print_timing: id  3 | task 1027 |       total time =   28460.06 ms /  1088 tokens
1.25.246.049 I slot print_timing: id  3 | task 1027 |    graphs reused =       2037
1.25.246.063 I slot      release: id  3 | task 1027 | stop processing: n_tokens = 1108, truncated = 0
1.25.260.260 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.709 (> 0.100 thold), f_keep = 0.075
1.25.483.683 I slot launch_slot_: id  3 | task 2054 | processing task, is_child = 0
1.28.675.093 I slot print_timing: id  3 | task 2054 | n_decoded =    110, tg =  36.53 t/s, tg_3s =  36.53 t/s
1.31.688.623 I slot print_timing: id  3 | task 2054 | n_decoded =    219, tg =  36.35 t/s, tg_3s =  36.17 t/s
1.32.406.030 I slot print_timing: id  3 | task 2054 | prompt eval time =     180.25 ms /    55 tokens (    3.28 ms per token,   305.13 tokens per second)
1.32.406.033 I slot print_timing: id  3 | task 2054 |        eval time =    6742.07 ms /   245 tokens (   27.52 ms per token,    36.34 tokens per second)
1.32.406.034 I slot print_timing: id  3 | task 2054 |       total time =    6922.32 ms /   300 tokens
1.32.406.035 I slot print_timing: id  3 | task 2054 |    graphs reused =       2279
1.32.406.055 I slot      release: id  3 | task 2054 | stop processing: n_tokens = 361, truncated = 0
1.32.420.497 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.685 (> 0.100 thold), f_keep = 0.319
1.32.717.746 I slot launch_slot_: id  3 | task 2302 | processing task, is_child = 0
1.35.926.839 I slot print_timing: id  3 | task 2302 | n_decoded =    110, tg =  36.45 t/s, tg_3s =  36.45 t/s
1.38.934.871 I slot print_timing: id  3 | task 2302 | n_decoded =    219, tg =  36.34 t/s, tg_3s =  36.24 t/s
1.41.942.880 I slot print_timing: id  3 | task 2302 | n_decoded =    328, tg =  36.31 t/s, tg_3s =  36.24 t/s
1.44.959.727 I slot print_timing: id  3 | task 2302 | n_decoded =    437, tg =  36.26 t/s, tg_3s =  36.13 t/s
1.45.678.237 I slot print_timing: id  3 | task 2302 | prompt eval time =     191.21 ms /    83 tokens (    2.30 ms per token,   434.07 tokens per second)
1.45.678.240 I slot print_timing: id  3 | task 2302 |        eval time =   12769.25 ms /   463 tokens (   27.58 ms per token,    36.26 tokens per second)
1.45.678.240 I slot print_timing: id  3 | task 2302 |       total time =   12960.47 ms /   546 tokens
1.45.678.241 I slot print_timing: id  3 | task 2302 |    graphs reused =       2738
1.45.678.257 I slot      release: id  3 | task 2302 | stop processing: n_tokens = 630, truncated = 0
1.45.692.766 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.683 (> 0.100 thold), f_keep = 0.263
1.46.081.244 I slot launch_slot_: id  3 | task 2768 | processing task, is_child = 0
1.49.299.761 I slot print_timing: id  3 | task 2768 | n_decoded =    110, tg =  36.43 t/s, tg_3s =  36.43 t/s
1.52.307.961 I slot print_timing: id  3 | task 2768 | n_decoded =    219, tg =  36.33 t/s, tg_3s =  36.23 t/s
1.55.323.549 I slot print_timing: id  3 | task 2768 | n_decoded =    328, tg =  36.27 t/s, tg_3s =  36.15 t/s
1.58.336.153 I slot print_timing: id  3 | task 2768 | n_decoded =    437, tg =  36.25 t/s, tg_3s =  36.18 t/s
