0.02.272.457 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.424.998 I srv    load_model: loading model 'HauhauCS/Qwen3.6-27B-Uncensored-HauhauCS-Balanced:IQ4_XS'
0.02.726.224 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.25.626.894 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.25.646.527 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.25.646.616 I srv  llama_server: model loaded
0.25.646.620 I srv  llama_server: listening on http://127.0.0.1:8080
0.26.051.709 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.26.051.799 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.29.217.829 I slot print_timing: id  3 | task 0 | n_decoded =    112, tg =  37.15 t/s, tg_3s =  37.15 t/s
0.32.225.976 I slot print_timing: id  3 | task 0 | n_decoded =    223, tg =  37.02 t/s, tg_3s =  36.90 t/s
0.35.226.533 I slot print_timing: id  3 | task 0 | n_decoded =    333, tg =  36.90 t/s, tg_3s =  36.66 t/s
0.38.237.407 I slot print_timing: id  3 | task 0 | n_decoded =    444, tg =  36.89 t/s, tg_3s =  36.87 t/s
0.41.256.801 I slot print_timing: id  3 | task 0 | n_decoded =    555, tg =  36.87 t/s, tg_3s =  36.76 t/s
0.44.272.609 I slot print_timing: id  3 | task 0 | n_decoded =    666, tg =  36.86 t/s, tg_3s =  36.81 t/s
0.47.293.697 I slot print_timing: id  3 | task 0 | n_decoded =    777, tg =  36.84 t/s, tg_3s =  36.74 t/s
0.50.310.213 I slot print_timing: id  3 | task 0 | n_decoded =    888, tg =  36.84 t/s, tg_3s =  36.80 t/s
0.53.332.681 I slot print_timing: id  3 | task 0 | n_decoded =    999, tg =  36.82 t/s, tg_3s =  36.72 t/s
0.56.351.684 I slot print_timing: id  3 | task 0 | n_decoded =   1110, tg =  36.82 t/s, tg_3s =  36.77 t/s
0.59.370.746 I slot print_timing: id  3 | task 0 | n_decoded =   1221, tg =  36.81 t/s, tg_3s =  36.77 t/s
1.02.375.466 I slot print_timing: id  3 | task 0 | n_decoded =   1331, tg =  36.80 t/s, tg_3s =  36.61 t/s
1.05.377.945 I slot print_timing: id  3 | task 0 | n_decoded =   1441, tg =  36.78 t/s, tg_3s =  36.64 t/s
1.08.385.869 I slot print_timing: id  3 | task 0 | n_decoded =   1551, tg =  36.77 t/s, tg_3s =  36.57 t/s
1.11.389.033 I slot print_timing: id  3 | task 0 | n_decoded =   1661, tg =  36.76 t/s, tg_3s =  36.63 t/s
1.14.397.850 I slot print_timing: id  3 | task 0 | n_decoded =   1771, tg =  36.75 t/s, tg_3s =  36.56 t/s
1.14.808.575 I slot print_timing: id  3 | task 0 | prompt eval time =     151.07 ms /    34 tokens (    4.44 ms per token,   225.05 tokens per second)
1.14.808.579 I slot print_timing: id  3 | task 0 |        eval time =   48605.59 ms /  1786 tokens (   27.21 ms per token,    36.74 tokens per second)
1.14.808.579 I slot print_timing: id  3 | task 0 |       total time =   48756.66 ms /  1820 tokens
1.14.808.582 I slot print_timing: id  3 | task 0 |    graphs reused =       1778
1.14.808.629 I slot      release: id  3 | task 0 | stop processing: n_tokens = 1819, truncated = 0
1.14.842.401 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
1.14.842.443 I slot launch_slot_: id  2 | task 1788 | processing task, is_child = 0
1.18.372.072 I slot print_timing: id  2 | task 1788 | n_decoded =    112, tg =  37.02 t/s, tg_3s =  37.02 t/s
1.21.386.131 I slot print_timing: id  2 | task 1788 | n_decoded =    223, tg =  36.93 t/s, tg_3s =  36.83 t/s
1.24.407.793 I slot print_timing: id  2 | task 1788 | n_decoded =    334, tg =  36.86 t/s, tg_3s =  36.73 t/s
1.27.425.982 I slot print_timing: id  2 | task 1788 | n_decoded =    445, tg =  36.84 t/s, tg_3s =  36.78 t/s
1.30.449.518 I slot print_timing: id  2 | task 1788 | n_decoded =    556, tg =  36.81 t/s, tg_3s =  36.71 t/s
1.33.468.624 I slot print_timing: id  2 | task 1788 | n_decoded =    667, tg =  36.81 t/s, tg_3s =  36.77 t/s
1.36.490.180 I slot print_timing: id  2 | task 1788 | n_decoded =    778, tg =  36.80 t/s, tg_3s =  36.74 t/s
1.39.512.756 I slot print_timing: id  2 | task 1788 | n_decoded =    889, tg =  36.79 t/s, tg_3s =  36.72 t/s
1.42.532.734 I slot print_timing: id  2 | task 1788 | n_decoded =   1000, tg =  36.78 t/s, tg_3s =  36.76 t/s
1.45.537.570 I slot print_timing: id  2 | task 1788 | n_decoded =   1110, tg =  36.77 t/s, tg_3s =  36.61 t/s
1.48.540.902 I slot print_timing: id  2 | task 1788 | n_decoded =   1220, tg =  36.75 t/s, tg_3s =  36.63 t/s
1.51.549.181 I slot print_timing: id  2 | task 1788 | n_decoded =   1330, tg =  36.74 t/s, tg_3s =  36.57 t/s
1.54.552.482 I slot print_timing: id  2 | task 1788 | n_decoded =   1440, tg =  36.73 t/s, tg_3s =  36.63 t/s
1.57.561.279 I slot print_timing: id  2 | task 1788 | n_decoded =   1550, tg =  36.72 t/s, tg_3s =  36.56 t/s
2.00.572.720 I slot print_timing: id  2 | task 1788 | n_decoded =   1660, tg =  36.70 t/s, tg_3s =  36.53 t/s
2.03.584.255 I slot print_timing: id  2 | task 1788 | n_decoded =   1770, tg =  36.69 t/s, tg_3s =  36.53 t/s
2.06.602.207 I slot print_timing: id  2 | task 1788 | n_decoded =   1880, tg =  36.68 t/s, tg_3s =  36.45 t/s
2.09.616.074 I slot print_timing: id  2 | task 1788 | n_decoded =   1990, tg =  36.67 t/s, tg_3s =  36.50 t/s
2.12.635.340 I slot print_timing: id  2 | task 1788 | n_decoded =   2100, tg =  36.66 t/s, tg_3s =  36.43 t/s
2.15.649.804 I slot print_timing: id  2 | task 1788 | n_decoded =   2210, tg =  36.65 t/s, tg_3s =  36.49 t/s
2.18.669.769 I slot print_timing: id  2 | task 1788 | n_decoded =   2320, tg =  36.64 t/s, tg_3s =  36.42 t/s
2.21.689.730 I slot print_timing: id  2 | task 1788 | n_decoded =   2430, tg =  36.63 t/s, tg_3s =  36.42 t/s
2.24.709.894 I slot print_timing: id  2 | task 1788 | n_decoded =   2540, tg =  36.62 t/s, tg_3s =  36.42 t/s
2.27.717.328 I slot print_timing: id  2 | task 1788 | n_decoded =   2649, tg =  36.60 t/s, tg_3s =  36.24 t/s
2.30.723.003 I slot print_timing: id  2 | task 1788 | n_decoded =   2758, tg =  36.59 t/s, tg_3s =  36.26 t/s
2.33.735.250 I slot print_timing: id  2 | task 1788 | n_decoded =   2867, tg =  36.57 t/s, tg_3s =  36.19 t/s
2.36.744.621 I slot print_timing: id  2 | task 1788 | n_decoded =   2976, tg =  36.56 t/s, tg_3s =  36.22 t/s
2.39.758.955 I slot print_timing: id  2 | task 1788 | n_decoded =   3085, tg =  36.55 t/s, tg_3s =  36.16 t/s
2.42.770.328 I slot print_timing: id  2 | task 1788 | n_decoded =   3194, tg =  36.53 t/s, tg_3s =  36.20 t/s
2.45.781.708 I slot print_timing: id  2 | task 1788 | n_decoded =   3303, tg =  36.52 t/s, tg_3s =  36.20 t/s
2.48.798.720 I slot print_timing: id  2 | task 1788 | n_decoded =   3412, tg =  36.51 t/s, tg_3s =  36.13 t/s
2.51.810.619 I slot print_timing: id  2 | task 1788 | n_decoded =   3521, tg =  36.50 t/s, tg_3s =  36.19 t/s
2.54.828.560 I slot print_timing: id  2 | task 1788 | n_decoded =   3630, tg =  36.49 t/s, tg_3s =  36.12 t/s
2.57.842.558 I slot print_timing: id  2 | task 1788 | n_decoded =   3739, tg =  36.48 t/s, tg_3s =  36.16 t/s
3.00.856.760 I slot print_timing: id  2 | task 1788 | n_decoded =   3848, tg =  36.47 t/s, tg_3s =  36.16 t/s
3.03.860.127 I slot print_timing: id  2 | task 1788 | n_decoded =   3956, tg =  36.46 t/s, tg_3s =  35.96 t/s
3.06.887.039 I slot print_timing: id  2 | task 1788 | n_decoded =   4065, tg =  36.44 t/s, tg_3s =  36.01 t/s
3.09.894.365 I slot print_timing: id  2 | task 1788 | n_decoded =   4173, tg =  36.43 t/s, tg_3s =  35.91 t/s
3.12.898.666 I slot print_timing: id  2 | task 1788 | n_decoded =   4281, tg =  36.42 t/s, tg_3s =  35.95 t/s
3.15.908.784 I slot print_timing: id  2 | task 1788 | n_decoded =   4389, tg =  36.40 t/s, tg_3s =  35.88 t/s
3.18.914.871 I slot print_timing: id  2 | task 1788 | n_decoded =   4497, tg =  36.39 t/s, tg_3s =  35.93 t/s
3.21.920.995 I slot print_timing: id  2 | task 1788 | n_decoded =   4605, tg =  36.38 t/s, tg_3s =  35.93 t/s
3.24.934.453 I slot print_timing: id  2 | task 1788 | n_decoded =   4713, tg =  36.37 t/s, tg_3s =  35.84 t/s
3.27.943.406 I slot print_timing: id  2 | task 1788 | n_decoded =   4821, tg =  36.36 t/s, tg_3s =  35.89 t/s
3.30.958.020 I slot print_timing: id  2 | task 1788 | n_decoded =   4929, tg =  36.35 t/s, tg_3s =  35.83 t/s
3.33.968.771 I slot print_timing: id  2 | task 1788 | n_decoded =   5037, tg =  36.34 t/s, tg_3s =  35.87 t/s
3.36.984.378 I slot print_timing: id  2 | task 1788 | n_decoded =   5145, tg =  36.33 t/s, tg_3s =  35.81 t/s
3.39.993.938 I slot print_timing: id  2 | task 1788 | n_decoded =   5253, tg =  36.32 t/s, tg_3s =  35.89 t/s
3.43.003.942 I slot print_timing: id  2 | task 1788 | n_decoded =   5361, tg =  36.31 t/s, tg_3s =  35.88 t/s
3.46.029.746 I slot print_timing: id  2 | task 1788 | n_decoded =   5469, tg =  36.29 t/s, tg_3s =  35.69 t/s
3.49.053.904 I slot print_timing: id  2 | task 1788 | n_decoded =   5577, tg =  36.28 t/s, tg_3s =  35.71 t/s
3.52.056.136 I slot print_timing: id  2 | task 1788 | n_decoded =   5684, tg =  36.27 t/s, tg_3s =  35.64 t/s
3.55.083.083 I slot print_timing: id  2 | task 1788 | n_decoded =   5792, tg =  36.26 t/s, tg_3s =  35.68 t/s
3.58.087.231 I slot print_timing: id  2 | task 1788 | n_decoded =   5899, tg =  36.25 t/s, tg_3s =  35.62 t/s
4.01.087.638 I slot print_timing: id  2 | task 1788 | n_decoded =   6006, tg =  36.24 t/s, tg_3s =  35.66 t/s
4.04.088.582 I slot print_timing: id  2 | task 1788 | n_decoded =   6113, tg =  36.23 t/s, tg_3s =  35.66 t/s
4.07.095.203 I slot print_timing: id  2 | task 1788 | n_decoded =   6220, tg =  36.22 t/s, tg_3s =  35.59 t/s
4.10.097.293 I slot print_timing: id  2 | task 1788 | n_decoded =   6327, tg =  36.21 t/s, tg_3s =  35.64 t/s
4.13.105.584 I slot print_timing: id  2 | task 1788 | n_decoded =   6434, tg =  36.20 t/s, tg_3s =  35.57 t/s
4.16.109.418 I slot print_timing: id  2 | task 1788 | n_decoded =   6541, tg =  36.19 t/s, tg_3s =  35.62 t/s
4.19.113.665 I slot print_timing: id  2 | task 1788 | n_decoded =   6648, tg =  36.18 t/s, tg_3s =  35.62 t/s
4.22.131.543 I slot print_timing: id  2 | task 1788 | n_decoded =   6755, tg =  36.16 t/s, tg_3s =  35.46 t/s
4.25.146.430 I slot print_timing: id  2 | task 1788 | n_decoded =   6862, tg =  36.15 t/s, tg_3s =  35.49 t/s
4.28.168.138 I slot print_timing: id  2 | task 1788 | n_decoded =   6969, tg =  36.14 t/s, tg_3s =  35.41 t/s
4.31.186.690 I slot print_timing: id  2 | task 1788 | n_decoded =   7076, tg =  36.13 t/s, tg_3s =  35.45 t/s
4.33.189.843 I slot print_timing: id  2 | task 1788 | prompt eval time =     201.69 ms /   248 tokens (    0.81 ms per token,  1229.58 tokens per second)
4.33.189.846 I slot print_timing: id  2 | task 1788 |        eval time =  197842.95 ms /  7147 tokens (   27.68 ms per token,    36.12 tokens per second)
4.33.189.846 I slot print_timing: id  2 | task 1788 |       total time =  198044.64 ms /  7395 tokens
4.33.189.847 I slot print_timing: id  2 | task 1788 |    graphs reused =       8895
4.33.189.866 I slot      release: id  2 | task 1788 | stop processing: n_tokens = 7394, truncated = 0
4.33.223.269 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
4.33.223.313 I slot launch_slot_: id  1 | task 8937 | processing task, is_child = 0
4.36.630.845 I slot print_timing: id  1 | task 8937 | n_decoded =    112, tg =  37.03 t/s, tg_3s =  37.03 t/s
4.39.644.762 I slot print_timing: id  1 | task 8937 | n_decoded =    223, tg =  36.93 t/s, tg_3s =  36.83 t/s
4.42.658.312 I slot print_timing: id  1 | task 8937 | n_decoded =    334, tg =  36.90 t/s, tg_3s =  36.83 t/s
4.45.680.954 I slot print_timing: id  1 | task 8937 | n_decoded =    445, tg =  36.85 t/s, tg_3s =  36.72 t/s
4.48.698.966 I slot print_timing: id  1 | task 8937 | n_decoded =    556, tg =  36.84 t/s, tg_3s =  36.78 t/s
4.51.722.371 I slot print_timing: id  1 | task 8937 | n_decoded =    667, tg =  36.82 t/s, tg_3s =  36.71 t/s
4.54.741.258 I slot print_timing: id  1 | task 8937 | n_decoded =    778, tg =  36.81 t/s, tg_3s =  36.77 t/s
4.57.765.356 I slot print_timing: id  1 | task 8937 | n_decoded =    889, tg =  36.80 t/s, tg_3s =  36.71 t/s
5.00.784.985 I slot print_timing: id  1 | task 8937 | n_decoded =   1000, tg =  36.79 t/s, tg_3s =  36.76 t/s
5.03.804.957 I slot print_timing: id  1 | task 8937 | n_decoded =   1111, tg =  36.79 t/s, tg_3s =  36.76 t/s
5.06.812.361 I slot print_timing: id  1 | task 8937 | n_decoded =   1221, tg =  36.77 t/s, tg_3s =  36.58 t/s
5.09.815.099 I slot print_timing: id  1 | task 8937 | n_decoded =   1331, tg =  36.76 t/s, tg_3s =  36.63 t/s
5.12.823.373 I slot print_timing: id  1 | task 8937 | n_decoded =   1441, tg =  36.74 t/s, tg_3s =  36.57 t/s
5.15.826.596 I slot print_timing: id  1 | task 8937 | n_decoded =   1551, tg =  36.74 t/s, tg_3s =  36.63 t/s
5.18.837.466 I slot print_timing: id  1 | task 8937 | n_decoded =   1661, tg =  36.72 t/s, tg_3s =  36.53 t/s
5.21.848.757 I slot print_timing: id  1 | task 8937 | n_decoded =   1771, tg =  36.71 t/s, tg_3s =  36.53 t/s
5.24.860.187 I slot print_timing: id  1 | task 8937 | n_decoded =   1881, tg =  36.70 t/s, tg_3s =  36.53 t/s
5.27.879.168 I slot print_timing: id  1 | task 8937 | n_decoded =   1991, tg =  36.68 t/s, tg_3s =  36.44 t/s
5.30.893.088 I slot print_timing: id  1 | task 8937 | n_decoded =   2101, tg =  36.67 t/s, tg_3s =  36.50 t/s
5.33.912.139 I slot print_timing: id  1 | task 8937 | n_decoded =   2211, tg =  36.66 t/s, tg_3s =  36.44 t/s
5.36.926.101 I slot print_timing: id  1 | task 8937 | n_decoded =   2321, tg =  36.66 t/s, tg_3s =  36.50 t/s
5.39.947.129 I slot print_timing: id  1 | task 8937 | n_decoded =   2431, tg =  36.64 t/s, tg_3s =  36.41 t/s
5.42.966.274 I slot print_timing: id  1 | task 8937 | n_decoded =   2541, tg =  36.63 t/s, tg_3s =  36.43 t/s
5.45.985.818 I slot print_timing: id  1 | task 8937 | n_decoded =   2651, tg =  36.63 t/s, tg_3s =  36.43 t/s
5.48.996.261 I slot print_timing: id  1 | task 8937 | n_decoded =   2760, tg =  36.61 t/s, tg_3s =  36.21 t/s
5.52.001.966 I slot print_timing: id  1 | task 8937 | n_decoded =   2869, tg =  36.60 t/s, tg_3s =  36.26 t/s
5.55.015.094 I slot print_timing: id  1 | task 8937 | n_decoded =   2978, tg =  36.58 t/s, tg_3s =  36.18 t/s
5.58.024.647 I slot print_timing: id  1 | task 8937 | n_decoded =   3087, tg =  36.57 t/s, tg_3s =  36.22 t/s
6.01.040.098 I slot print_timing: id  1 | task 8937 | n_decoded =   3196, tg =  36.55 t/s, tg_3s =  36.15 t/s
6.04.051.611 I slot print_timing: id  1 | task 8937 | n_decoded =   3305, tg =  36.54 t/s, tg_3s =  36.19 t/s
6.07.063.157 I slot print_timing: id  1 | task 8937 | n_decoded =   3414, tg =  36.53 t/s, tg_3s =  36.19 t/s
6.10.080.433 I slot print_timing: id  1 | task 8937 | n_decoded =   3523, tg =  36.52 t/s, tg_3s =  36.13 t/s
6.13.092.479 I slot print_timing: id  1 | task 8937 | n_decoded =   3632, tg =  36.51 t/s, tg_3s =  36.19 t/s
6.16.110.923 I slot print_timing: id  1 | task 8937 | n_decoded =   3741, tg =  36.50 t/s, tg_3s =  36.11 t/s
6.19.125.343 I slot print_timing: id  1 | task 8937 | n_decoded =   3850, tg =  36.49 t/s, tg_3s =  36.16 t/s
6.22.147.905 I slot print_timing: id  1 | task 8937 | n_decoded =   3959, tg =  36.47 t/s, tg_3s =  36.06 t/s
6.25.174.901 I slot print_timing: id  1 | task 8937 | n_decoded =   4068, tg =  36.46 t/s, tg_3s =  36.01 t/s
6.28.201.860 I slot print_timing: id  1 | task 8937 | n_decoded =   4177, tg =  36.45 t/s, tg_3s =  36.01 t/s
6.31.210.851 I slot print_timing: id  1 | task 8937 | n_decoded =   4285, tg =  36.44 t/s, tg_3s =  35.89 t/s
6.34.215.278 I slot print_timing: id  1 | task 8937 | n_decoded =   4393, tg =  36.42 t/s, tg_3s =  35.95 t/s
6.37.225.533 I slot print_timing: id  1 | task 8937 | n_decoded =   4501, tg =  36.41 t/s, tg_3s =  35.88 t/s
6.40.231.737 I slot print_timing: id  1 | task 8937 | n_decoded =   4609, tg =  36.40 t/s, tg_3s =  35.93 t/s
6.43.243.517 I slot print_timing: id  1 | task 8937 | n_decoded =   4717, tg =  36.39 t/s, tg_3s =  35.86 t/s
6.46.252.459 I slot print_timing: id  1 | task 8937 | n_decoded =   4825, tg =  36.37 t/s, tg_3s =  35.89 t/s
6.49.261.146 I slot print_timing: id  1 | task 8937 | n_decoded =   4933, tg =  36.36 t/s, tg_3s =  35.90 t/s
6.52.276.596 I slot print_timing: id  1 | task 8937 | n_decoded =   5041, tg =  36.35 t/s, tg_3s =  35.82 t/s
6.55.287.478 I slot print_timing: id  1 | task 8937 | n_decoded =   5149, tg =  36.34 t/s, tg_3s =  35.87 t/s
6.58.302.871 I slot print_timing: id  1 | task 8937 | n_decoded =   5257, tg =  36.33 t/s, tg_3s =  35.82 t/s
7.01.312.612 I slot print_timing: id  1 | task 8937 | n_decoded =   5365, tg =  36.32 t/s, tg_3s =  35.88 t/s
7.04.328.605 I slot print_timing: id  1 | task 8937 | n_decoded =   5473, tg =  36.31 t/s, tg_3s =  35.81 t/s
7.07.352.753 I slot print_timing: id  1 | task 8937 | n_decoded =   5581, tg =  36.30 t/s, tg_3s =  35.71 t/s
7.10.376.859 I slot print_timing: id  1 | task 8937 | n_decoded =   5689, tg =  36.29 t/s, tg_3s =  35.71 t/s
7.13.379.899 I slot print_timing: id  1 | task 8937 | n_decoded =   5796, tg =  36.28 t/s, tg_3s =  35.63 t/s
7.16.407.251 I slot print_timing: id  1 | task 8937 | n_decoded =   5904, tg =  36.27 t/s, tg_3s =  35.67 t/s
7.19.412.123 I slot print_timing: id  1 | task 8937 | n_decoded =   6011, tg =  36.25 t/s, tg_3s =  35.61 t/s
7.22.413.319 I slot print_timing: id  1 | task 8937 | n_decoded =   6118, tg =  36.24 t/s, tg_3s =  35.65 t/s
7.25.414.536 I slot print_timing: id  1 | task 8937 | n_decoded =   6225, tg =  36.23 t/s, tg_3s =  35.65 t/s
7.28.422.190 I slot print_timing: id  1 | task 8937 | n_decoded =   6332, tg =  36.22 t/s, tg_3s =  35.58 t/s
7.31.424.958 I slot print_timing: id  1 | task 8937 | n_decoded =   6439, tg =  36.21 t/s, tg_3s =  35.63 t/s
7.34.433.254 I slot print_timing: id  1 | task 8937 | n_decoded =   6546, tg =  36.20 t/s, tg_3s =  35.57 t/s
7.37.437.448 I slot print_timing: id  1 | task 8937 | n_decoded =   6653, tg =  36.19 t/s, tg_3s =  35.62 t/s
7.40.447.619 I slot print_timing: id  1 | task 8937 | n_decoded =   6760, tg =  36.18 t/s, tg_3s =  35.55 t/s
7.43.462.645 I slot print_timing: id  1 | task 8937 | n_decoded =   6867, tg =  36.17 t/s, tg_3s =  35.49 t/s
