0.00.226.374 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.342.116 I srv    load_model: loading model 'unsloth/Qwen3.6-27B-GGUF:IQ4_XS'
0.00.657.422 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.25.104.199 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.25.119.173 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.25.119.197 I srv  llama_server: model loaded
0.25.119.200 I srv  llama_server: listening on http://127.0.0.1:8080
0.26.086.948 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.26.087.008 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.29.342.121 I slot print_timing: id  3 | task 0 | n_decoded =    110, tg =  36.62 t/s, tg_3s =  36.62 t/s
0.32.355.150 I slot print_timing: id  3 | task 0 | n_decoded =    219, tg =  36.40 t/s, tg_3s =  36.18 t/s
0.35.355.268 I slot print_timing: id  3 | task 0 | n_decoded =    328, tg =  36.38 t/s, tg_3s =  36.33 t/s
0.38.355.393 I slot print_timing: id  3 | task 0 | n_decoded =    437, tg =  36.37 t/s, tg_3s =  36.33 t/s
0.41.363.867 I slot print_timing: id  3 | task 0 | n_decoded =    546, tg =  36.34 t/s, tg_3s =  36.23 t/s
0.44.368.846 I slot print_timing: id  3 | task 0 | n_decoded =    655, tg =  36.33 t/s, tg_3s =  36.27 t/s
0.47.378.665 I slot print_timing: id  3 | task 0 | n_decoded =    764, tg =  36.31 t/s, tg_3s =  36.21 t/s
0.50.385.504 I slot print_timing: id  3 | task 0 | n_decoded =    873, tg =  36.30 t/s, tg_3s =  36.25 t/s
0.53.397.194 I slot print_timing: id  3 | task 0 | n_decoded =    982, tg =  36.29 t/s, tg_3s =  36.19 t/s
0.56.405.475 I slot print_timing: id  3 | task 0 | n_decoded =   1091, tg =  36.29 t/s, tg_3s =  36.23 t/s
0.59.414.059 I slot print_timing: id  3 | task 0 | n_decoded =   1200, tg =  36.28 t/s, tg_3s =  36.23 t/s
1.02.435.564 I slot print_timing: id  3 | task 0 | n_decoded =   1309, tg =  36.26 t/s, tg_3s =  36.07 t/s
1.05.454.683 I slot print_timing: id  3 | task 0 | n_decoded =   1418, tg =  36.25 t/s, tg_3s =  36.10 t/s
1.08.479.046 I slot print_timing: id  3 | task 0 | n_decoded =   1527, tg =  36.24 t/s, tg_3s =  36.04 t/s
1.11.499.234 I slot print_timing: id  3 | task 0 | n_decoded =   1636, tg =  36.23 t/s, tg_3s =  36.09 t/s
1.14.524.311 I slot print_timing: id  3 | task 0 | n_decoded =   1745, tg =  36.21 t/s, tg_3s =  36.03 t/s
1.17.524.595 I slot print_timing: id  3 | task 0 | n_decoded =   1853, tg =  36.20 t/s, tg_3s =  36.00 t/s
1.20.525.668 I slot print_timing: id  3 | task 0 | n_decoded =   1961, tg =  36.19 t/s, tg_3s =  35.99 t/s
1.23.533.506 I slot print_timing: id  3 | task 0 | n_decoded =   2069, tg =  36.17 t/s, tg_3s =  35.91 t/s
1.26.537.452 I slot print_timing: id  3 | task 0 | n_decoded =   2177, tg =  36.16 t/s, tg_3s =  35.95 t/s
1.29.546.229 I slot print_timing: id  3 | task 0 | n_decoded =   2285, tg =  36.15 t/s, tg_3s =  35.89 t/s
1.30.603.362 I slot print_timing: id  3 | task 0 | prompt eval time =     251.37 ms /    55 tokens (    4.57 ms per token,   218.81 tokens per second)
1.30.603.365 I slot print_timing: id  3 | task 0 |        eval time =   64264.94 ms /  2323 tokens (   27.66 ms per token,    36.15 tokens per second)
