label,quant,type,depth,pp_tok_s,tg_tok_s,vram_peak_mib,ram_used_peak_mib,status
27B_IQ4_XS,IQ4_XS,dense,0,1437.137117,36.286764,15032,594,OK
27B_IQ4_XS,IQ4_XS,dense,4096,1424.553827,35.438726,15172,903,OK
27B_IQ4_XS,IQ4_XS,dense,8192,1369.229084,34.685976,15282,1046,OK
27B_IQ4_XS,IQ4_XS,dense,16384,1208.768149,32.984666,15576,1330,OK
27B_IQ4_XS,IQ4_XS,dense,32768,,,14262,423,FAIL
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,0,698.769365,50.711835,2792,933,OK
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,4096,766.660755,51.773421,2834,785,OK
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,8192,798.876513,51.462577,2878,835,OK
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,16384,785.317378,50.441452,2962,930,OK
35B_UD-IQ4_NL_XL,UD-IQ4_NL_XL,moe,32768,760.957591,48.269106,3132,1118,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,0,343.305830,50.674796,2910,669,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,4096,661.106503,55.195564,2952,787,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,8192,649.315587,54.538454,2996,835,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,16384,641.407062,53.075781,3080,931,OK
35B_UD-Q4_K_XL,UD-Q4_K_XL,moe,32768,642.295011,50.619003,3250,1119,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,0,816.590101,50.880712,2792,657,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,4096,847.518274,50.992588,2834,776,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,8192,831.808422,50.283790,2878,823,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,16384,820.168499,49.353638,2962,920,OK
35B_UD-Q3_K_M,UD-Q3_K_M,moe,32768,810.570609,47.131696,3132,1110,OK
27B_Heretic_Youssofal,Q4_K_M,dense,0,,,15318,496,FAIL
27B_Heretic_Youssofal,Q4_K_M,dense,4096,,,15318,445,FAIL
27B_Heretic_Youssofal,Q4_K_M,dense,8192,,,15318,445,FAIL
27B_Heretic_Youssofal,Q4_K_M,dense,16384,,,15318,444,FAIL
27B_Heretic_Youssofal,Q4_K_M,dense,32768,,,15318,444,FAIL
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,0,1293.494675,30.668617,13110,529,OK
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,4096,1268.247318,29.689496,13232,824,OK
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,8192,1210.347682,28.898399,13390,965,OK
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,16384,1084.263186,27.445490,13636,1247,OK
27B_Heretic_Youssofal_Q3_K_M,Q3_K_M,dense,32768,883.923589,24.950253,14220,1813,OK
# --- provenance (appended 2026-07-02; this run predates the version-stamping feature) ---
# host: debian-llm (Proxmox LXC)
# cpu: AMD Ryzen 7 7800X3D 8-Core Processor
# gpu: NVIDIA GeForce RTX 4070 Ti SUPER
# gpu_compute_capability: 8.9
# gpu_vram_total_mib: 15943
# backend: CUDA
# cuda_toolkit: 13.1 (operator-confirmed; not auto-recorded by this run)
# llama_cpp_build: 4fc4ec554 (build 9859)
# nvidia_driver: not recorded at run time
# power_limit_w: not recorded at run time
# note: cpu/gpu/vram/backend/build are ground truth from this run's llama-bench JSON
#       (json/*.json). cuda_toolkit is operator-attested. driver/power were not captured;
#       future runs record all fields automatically in versions_<slug>.txt + RUN_<slug>.md.
